Name,CID,Affinity,Pose
Cynaroside,5280637,-9.817,1
Curcumin,969516,-9.786,1
Nepitrin,120742,-9.774,1
Nicotiflorin,5318767,-9.417,1
patuletin-3-rutinoside,70696487,-9.356,1
Luteolin,5280445,-9.114,1
Quercetin,5280343,-9.099,1
Nepetin,5317284,-8.816,1
Isoorientin,114776,-8.799,1
Patulitrin,5320435,-8.767,1
quercetin-3-rhamnoside,18604930,-8.627,1
Kaempferol,5280863,-8.584,1
patuletin-3-glucoside,11968829,-8.29,1
Patuletin,5281678,-8.27,1
Afzelin,5316673,-8.224,1
Orientin,5281675,-8.203,1
Isoquercetin,5280804,-7.9,1
Querciturone,5274585,-7.846,1
Astragalin,5282102,-7.844,1
Doxycycline,54671203,-6.908,1
