Name,CID,Affinity,Pose
Luteolin,5280445,-8.099,1
Quercetin,5280343,-7.938,1
Kaempferol,5280863,-7.811,1
Querciturone,5274585,-7.676,1
Astragalin,5282102,-7.545,1
Isoquercetin,5280804,-7.495,1
Curcumin,969516,-6.678,1
Nepetin,5317284,-6.664,1
patuletin-3-glucoside,11968829,-6.593,1
Patuletin,5281678,-5.967,1
quercetin-3-rhamnoside,18604930,-5.508,1
Orientin,5281675,-5.452,1
Afzelin,5316673,-5.136,1
Cynaroside,5280637,-5.108,1
Nepitrin,120742,-4.975,1
Isoorientin,114776,-4.929,1
Nicotiflorin,5318767,-3.833,1
Patulitrin,5320435,-3.578,1
patuletin-3-rutinoside,70696487,-2.968,1
Doxycycline,54671203,7.722,1
