Name,CID,Affinity,Pose
Orientin,5281675,-8.93,1
patuletin-3-rutinoside,70696487,-8.784,1
Isoorientin,114776,-8.732,1
Nicotiflorin,5318767,-8.627,1
Querciturone,5274585,-8.546,1
Isoquercetin,5280804,-8.347,1
patuletin-3-glucoside,11968829,-8.285,1
Astragalin,5282102,-8.232,1
Cynaroside,5280637,-8.224,1
quercetin-3-rhamnoside,18604930,-8.13,1
Afzelin,5316673,-8.08,1
Patulitrin,5320435,-7.963,1
Quercetin,5280343,-7.886,1
Luteolin,5280445,-7.794,1
Patuletin,5281678,-7.781,1
Nepetin,5317284,-7.773,1
Nepitrin,120742,-7.755,1
Kaempferol,5280863,-7.586,1
Curcumin,969516,-7.122,1
Doxycycline,54671203,-6.931,1
